LAMMPS data file via write_data, version 28 Oct 2021, timestep = 3000000

5214 atoms
8 atom types

-9.525278051358015 9.525278051358015 xlo xhi
-9.525278051358015 9.525278051358015 ylo yhi
-9.525278051358015 9.525278051358015 zlo zhi

Masses

1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1

PairIJ Coeffs # lj/cut/coul/long

1 1 1 1 2.5
1 2 1 1 2.5
1 3 1 1 2.5
1 4 1 1 2.5
1 5 1 1 2.5
1 6 0 0 2.5
1 7 0 0 2.5
1 8 0 0 2.5
2 2 1 1 2.5
2 3 1 1 2.5
2 4 1 1 2.5
2 5 1 1 2.5
2 6 0 0 2.5
2 7 0 0 2.5
2 8 0 0 2.5
3 3 1 1 2.5
3 4 1 1 2.5
3 5 1 1 2.5
3 6 0 0 2.5
3 7 0 0 2.5
3 8 0 0 2.5
4 4 0 0 2.5
4 5 0 0 2.5
4 6 0 0 2.5
4 7 0 0 2.5
4 8 0 0 2.5
5 5 0 0 2.5
5 6 0 0 2.5
5 7 0 0 2.5
5 8 0 0 2.5
6 6 0 0 2.5
6 7 0 0 2.5
6 8 0 0 2.5
7 7 0 0 2.5
7 8 0 0 2.5
8 8 0 0 2.5

Atoms # charge

4650 1 0 -3.913949744047302 -8.475542892357481 -8.791566950759687 13 -4 -14
611 1 0 -4.157021050720586 -8.291764921889515 -7.704463876281318 14 -1 -19
20 1 0 -3.4184836248917194 -9.400057402405652 -8.63319930924435 2 3 -1
24 1 0 -3.179582996382701 -7.847208697776698 -8.261964354573461 -1 -12 -45
18 1 0 -4.920685177150641 -8.365325544756542 -8.383217549967105 -17 -26 -26
4718 1 0 -3.6565896747777553 -7.5953242088073365 -9.51350884322344 11 -57 -68
1 1 0 -8.429124148481293 -7.079176403041454 -8.369992540339094 12 -30 -26
76 1 0 -7.668342046611654 -6.187477635445266 -8.589588308116157 -109 -46 -63
654 1 0 -9.380323939002952 -5.500173130112536 -7.61686778296022 8 -27 -47
597 1 0 -7.923493460300049 -6.998489163604219 -7.54059952753948 10 -9 -9
73 1 0 -8.709033102810048 -6.070675012999586 -8.881003601928617 -14 -18 -37
713 1 0 -8.49430311467963 -6.171344022045257 -7.83495012494986 8 -2 -10
4755 1 0 -9.443948267680312 -6.794518582602991 -8.804890403209209 7 -19 -27
80 1 0 -6.906387701389618 -6.838296040353005 -8.178507529202776 2 3 0
15 1 0 -5.742091348542389 -7.249503668530163 -8.03293691413313 10 -47 -49
87 1 0 -5.5672170148425115 -6.446925036838432 -8.590333148686025 -5 -29 -43
79 1 0 -6.955739119034414 -6.695755603393091 -9.396829169919306 5 -1 -8
84 1 0 -6.316525371886092 -5.796288407931226 -9.235491122064678 3 7 -8
85 1 0 -6.459527062791283 -5.844914808721068 -7.779286532425066 -114 -88 -57
149 2 1 -5.41273066221664 -5.398777473963582 -7.785003971993049 1 2 -4
4708 1 0 -6.145589477808154 -7.243576395978082 -9.044957270508315 9 -1 -17
90 1 0 -4.035547157050043 -6.843634736104656 -8.013387964033493 7 -4 -9
89 1 0 -4.4986643904448345 -6.150430278689633 -8.555710309833318 5 0 -5
91 1 0 -3.504722583046996 -5.66811731564189 -8.012032422288726 6 -31 -32
94 1 0 -3.353538636280396 -6.75335574053372 -8.806150851571887 -69 -62 -41
4716 1 0 -4.464887001118339 -6.762813293042195 -9.496376635982557 -9 -27 -38
4780 1 0 -3.966394188224694 -5.313591585120019 -8.937713637928498 -20 -40 -37
134 1 0 -9.206885441264507 -4.78315807419693 -8.50191548204319 -7 -42 -47
75 1 0 -8.298638276647992 -5.148071945510719 -8.127669670888201 -10 -13 -21
138 1 0 -7.632182053616778 -4.220414661825465 -8.119979883009965 5 -4 -10
74 1 0 -8.77427134364336 -4.561489519823871 -7.414900679841808 18 -12 -30
140 1 0 -7.940476781125598 -3.4637238454512875 -8.999865595652595 5 -4 -7
4759 1 0 -8.937277248363534 -3.525430155875887 -9.404710731902075 14 -6 -14
136 1 0 -8.629713285541298 -3.688988657082675 -8.095817871608396 6 0 -17
4764 1 0 -8.075057384463559 -4.65989072314703 -8.995368073665032 -2 1 1
135 3 -1 -8.850233119238915 -5.159079422721773 -9.466217524494628 1 0 0
142 1 0 -6.73891602310284 -4.7615682355523345 -7.554229511236631 12 -8 -17
