LAMMPS data file via write_data, version 28 Oct 2021, timestep = 1800

5214 atoms
8 atom types

-9.525278051358015 9.525278051358015 xlo xhi
-9.525278051358015 9.525278051358015 ylo yhi
-9.525278051358015 9.525278051358015 zlo zhi

Masses

1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1

PairIJ Coeffs # lj/cut/coul/long

1 1 1 1 2.5
1 2 1 1 2.5
1 3 1 1 2.5
1 4 1 1 2.5
1 5 1 1 2.5
1 6 0 0 2.5
1 7 0 0 2.5
1 8 0 0 2.5
2 2 1 1 2.5
2 3 1 1 2.5
2 4 1 1 2.5
2 5 1 1 2.5
2 6 0 0 2.5
2 7 0 0 2.5
2 8 0 0 2.5
3 3 1 1 2.5
3 4 1 1 2.5
3 5 1 1 2.5
3 6 0 0 2.5
3 7 0 0 2.5
3 8 0 0 2.5
4 4 0 0 2.5
4 5 0 0 2.5
4 6 0 0 2.5
4 7 0 0 2.5
4 8 0 0 2.5
5 5 0 0 2.5
5 6 0 0 2.5
5 7 0 0 2.5
5 8 0 0 2.5
6 6 0 0 2.5
6 7 0 0 2.5
6 8 0 0 2.5
7 7 0 0 2.5
7 8 0 0 2.5
8 8 0 0 2.5

Atoms # charge

78 2 1 -3.840717537076141 -4.925074415968353 -8.44907507174313 1 2 -4
143 1 0 -4.3776072695119685 -4.094093944936516 -8.157150864525372 27 -58 -62
84 1 0 -2.7255932376688374 -5.2935099678815565 -7.7375543599825845 -16 -20 -47
146 1 0 -3.542377840262041 -3.81560763147908 -8.689113174533874 -97 -100 -32
4791 1 0 -2.0058158898950977 -4.96027232016135 -8.885128696630439 -97 -55 -72
88 1 0 -2.9823806610531496 -5.508205639020436 -8.772370011100323 6 -31 -32
144 1 0 -2.690640197782535 -4.286057258068608 -8.58259148018343 13 -13 -30
153 1 0 -1.7407125570420459 -4.282205565974228 -8.076893389365292 17 -8 -13
156 1 0 -0.05563015790284771 -3.9011118991680656 -7.964871614009364 18 -23 -40
164 1 0 -0.23491550544504028 -4.720233781929388 -9.433398712581013 -9 -13 -40
159 1 0 -0.915728176996899 -4.866700597737545 -8.557253454176253 -101 -62 -38
134 1 0 -7.703063615984093 -3.31890703143967 -8.195640631669962 -19 -23 -38
129 1 0 -8.80583927742451 -3.5084710112541657 -8.800753162924694 -97 -91 -10
192 1 0 -9.075374028739871 -2.284616786949251 -8.540875146940829 1 2 1
259 1 0 -9.470969553869786 -3.026919653463818 -7.962099164069795 5 -4 -10
196 1 0 -8.128973548781254 -2.6728508171780643 -9.044962706939248 1 -74 -51
136 1 0 -6.282519489512187 -2.8604198752093444 -8.320789346506347 -8 -8 -31
200 1 0 -7.088172869654346 -2.284259806672315 -8.866574118716612 -88 -34 -42
138 1 0 -6.949484518285501 -3.4239333408242736 -8.939104692563626 -2 -29 -46
198 1 0 -7.4326237084310165 -2.2234116776641324 -7.916928631898738 -105 -69 -44
207 1 0 -5.385201855517776 -2.9976159244266007 -7.674028947502369 -1 2 -2
208 1 0 -5.645235351104054 -3.2086482374943626 -9.44666467050457 15 -7 -20
211 1 0 -4.898316448170349 -3.29310205510089 -8.575145695709157 -17 -36 -50
210 1 0 -5.465573786468213 -2.268290099464882 -8.622874182399311 10 -8 -11
213 1 0 -4.304126038634568 -3.0599985091454656 -9.427443270278477 18 -14 -26
212 1 0 -4.324871369447239 -2.331347877975733 -8.695573316683818 13 -7 -24
803 1 0 -3.9321696201917242 -3.126637684467238 -7.922914984320019 2 3 -2
148 1 0 -2.865276700602961 -3.0162072920497174 -7.933594477891439 9 -40 -23
152 1 0 -2.791042762734854 -3.240518882905147 -9.041291877980566 1 -6 -10
216 1 0 -3.1701494401661687 -2.220490517246206 -8.583847508513873 7 -23 -25
814 1 0 -2.0040633615437096 -2.2552029876503394 -7.853170401065617 1 3 -2
158 1 0 -1.888129038349312 -3.310095303811591 -8.185565797022658 2 -8 -39
160 1 0 -0.834582285967664 -3.625591027119169 -8.531056052954758 13 -10 -29
221 1 0 -1.1841088725789788 -2.5328972201745534 -8.624996491348675 0 1 -1
225 1 0 -0.24929394087671647 -2.8653454142722814 -8.51728192465374 -11 -19 -37
154 1 0 -1.723727761500357 -3.78253509111883 -9.051483620110089 1 1 1
197 1 0 -8.372198487336757 -1.4408132898518178 -8.654070320977127 13 -22 -25
199 1 0 -7.946329382752941 -0.7155950104996227 -7.636834137661687 12 -6 -13
264 1 0 -9.421826731638989 -1.7329046307269496 -7.6769299192118545 16 -9 -40
266 1 0 -8.718123501304264 -0.5559615540724197 -8.25570242772309 2 0 1
267 1 0 -7.890713944899251 -0.5005906226272573 -8.864550512891096 20 -15 -33
325 1 0 -9.525048845536846 -0.05811918617775153 -8.886712005310171 19 -6 -17
258 1 0 -9.512225966238029 -1.3769087554206378 -9.055539448340447 -27 -29 -38
201 1 0 -6.301685268710382 -1.5781033892153733 -8.59568119579014 -30 -33 -41
271 1 0 -6.226039279417132 -0.7572058592880451 -7.884136515747567 7 -41 -38
273 1 0 -6.899425199513052 -0.8642493610985024 -9.326957088607791 -11 -25 -47
202 1 0 -7.025508067279108 -1.3782599679547471 -7.630661464452195 3 2 -3
270 1 0 -7.0724254672680305 -0.018364873166759485 -8.214090536702477 -9 -98 -68
205 1 0 -5.694011933994486 -1.7694371648731093 -7.725217677883783 -2 2 -1
272 1 0 -5.546228017848602 -0.5404787188434845 -8.691589693451272 7 -21 -44
275 1 0 -4.541612564570228 -0.6198354203343089 -9.122605272586902 13 -29 -34
277 1 0 -4.9729870843092145 -0.6998828768066171 -7.897014388663615 0 3 -2
282 1 0 -3.9258815700399547 -0.3705912540955133 -8.309355389597561 5 -2 -8
808 1 0 -2.7764638699908324 -1.0397423005843094 -8.427974951375807 -126 -97 -35
286 1 0 -2.7134528233818123 -0.11394023916587717 -7.650683790858771 20 -13 -25
278 1 0 -3.592700840012071 -1.2425789926323902 -8.98540840806083 -10 -20 -38
4853 1 0 -2.3531724484763368 -1.3329895903861608 -9.416155676053583 -1 1 0
220 1 0 -0.47725458421169187 -1.5163228495153769 -8.478832217350341 0 3 0
4919 1 0 -1.1626362766760467 -1.124231136360554 -9.182139164036741 10 -7 -29
288 1 0 -1.754801978569547 -0.29164762954052503 -8.930390369035253 -15 -17 -36
223 1 0 -1.1830661176725392 -0.9413355846983172 -8.064662739647858 9 -5 -19
218 1 0 -1.90372777386097 -1.5911180418178987 -8.549491730220687 -11 -13 -40
296 1 0 -0.329879972244628 -0.5560436792957252 -8.745612583140549 8 -6 -7
292 1 0 -0.7048056138901451 -0.04657850132710023 -7.862123255471236 -1 1 1
595 1 0 -8.257035525045731 -8.317977082161294 -6.27798559010168 4 -22 -41
596 1 0 -8.092207810166926 -9.232734893562956 -7.169104843436037 -6 -24 -37
658 1 0 -9.253457047386224 -8.000983711486848 -6.476846269015753 20 -16 -25
